EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-01-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGHT   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
   37,176130,LYON - ST EXUPERY                       ,FR,+45:43:35,+005:04:40, 235,HU13,19750501,20201231,   10,Jean-Michel Soubeyroux                            
   37,176131,LYON - ST EXUPERY                       ,FR,+45:43:35,+005:04:40, 235,FG12,19750501,20201231,   10,Jean-Michel Soubeyroux                            
   38,100126,PARIS - MONTSOURIS                      ,FR,+48:49:18,+002:20:16,  75,PP23,19500101,20201231,   10,Jean-Michel Soubeyroux                            
   38,190814,PARIS - MONTSOURIS                      ,FR,+48:49:18,+002:20:16,  75, QQ5,19780101,20191231,   72,Anatoly V. Tsvetkov                               
   39,100098,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9,PP23,19490101,20201231,   10,Jean-Michel Soubeyroux                            
   39,104890,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, RR9,19210101,20201231,   10,Jean-Michel Soubeyroux                            
   39,104891,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, SS1,19601201,20050101,   10,Jean-Michel Soubeyroux                            
   39,104892,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, TX6,19210101,20201231,   10,Jean-Michel Soubeyroux                            
   39,104893,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, TN2,19210101,20201231,   10,Jean-Michel Soubeyroux                            
   39,106702,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, TG5,19210101,20201231,   10,Jean-Michel Soubeyroux                            
